city,year,month,sales,volume,median_price,listings,months_inventory
Beaumont,2010,1,83,14.162,163800,1533,9.5
Beaumont,2010,2,108,17.69,138200,1586,10
Beaumont,2010,3,182,28.701,122400,1689,10.6
Beaumont,2010,4,200,26.819,123200,1708,10.6
Beaumont,2010,5,202,28.833,123100,1771,10.9
Beaumont,2010,6,189,27.219,122800,1803,11.1
Beaumont,2010,7,164,22.706,124300,1857,11.7
Beaumont,2010,8,174,25.237,136800,1830,11.6
Beaumont,2010,9,124,17.233,121100,1829,11.7
Beaumont,2010,10,150,23.904,138500,1779,11.5
Beaumont,2010,11,150,18.107,150700,1742,11.2
Beaumont,2010,12,148,21.235,132500,1646,10.5
Beaumont,2011,1,108,16.2,130700,1677,10.6
Beaumont,2011,2,108,16.187,116700,1691,10.7
Beaumont,2011,3,146,22.183,120000,1762,11.3
Beaumont,2011,4,166,24.087,130000,1767,11.6
Beaumont,2011,5,143,19.684,120700,1832,12.4
Beaumont,2011,6,177,25.86,131200,1845,12.6
Beaumont,2011,7,163,28.48,132800,1822,12.4
Beaumont,2011,8,160,24.921,144600,1789,12.3
Beaumont,2011,9,127,16.908,123800,1785,12.3
Beaumont,2011,10,155,22.564,132100,1722,11.8
Beaumont,2011,11,124,15.489,111100,1687,11.7
Beaumont,2011,12,151,20.58,114000,1596,11.1
Beaumont,2012,1,110,13.496,110000,1647,11.4
Beaumont,2012,2,135,17.212,117500,1666,11.4
Beaumont,2012,3,175,25.359,129600,1730,11.6
Beaumont,2012,4,176,24.956,126200,1735,11.6
Beaumont,2012,5,197,30.159,134100,1765,11.4
Beaumont,2012,6,173,25.281,130800,1724,11.2
Beaumont,2012,7,182,25.981,127000,1749,11.3
Beaumont,2012,8,218,31.146,133600,1683,10.5
Beaumont,2012,9,182,24.052,118800,1704,10.3
Beaumont,2012,10,193,27.35,121800,1671,9.9
Beaumont,2012,11,162,22.906,134300,1652,9.7
Beaumont,2012,12,160,25.714,134700,1570,9.1
Beaumont,2013,1,159,23.029,126100,1581,9
Beaumont,2013,2,140,20.342,130000,1620,9.2
Beaumont,2013,3,170,25.551,121200,1567,8.9
Beaumont,2013,4,198,29.433,131400,1696,9.5
Beaumont,2013,5,246,37.28,134200,1659,9.1
Beaumont,2013,6,232,36.275,134100,1675,9
Beaumont,2013,7,206,30.818,128200,1708,9
Beaumont,2013,8,273,42.028,135000,1675,8.7
Beaumont,2013,9,213,34.359,147000,1681,8.6
Beaumont,2013,10,188,25.686,121100,1655,8.5
Beaumont,2013,11,177,26.371,140500,1624,8.3
Beaumont,2013,12,212,32.538,140000,1534,7.6
Beaumont,2014,1,148,18.077,106700,1575,7.9
Beaumont,2014,2,186,27.164,132500,1636,8
Beaumont,2014,3,182,26.344,129100,1539,7.5
Beaumont,2014,4,208,30.181,138300,1604,7.8
Beaumont,2014,5,246,36.739,134500,1620,7.9
Beaumont,2014,6,254,38.189,134500,1672,8
Beaumont,2014,7,212,34.861,142200,1657,8
